vinregex,year,makemodel,vinchar1,vinchar2,vinchar3,vinchar4,vinchar5,vinchar6,vinchar7,vinchar8,vinchar9,vinchar10,vinchar11,vinchar12,vinchar13,vinchar14,vinchar15,vinchar16,vinchar17,make,model
1C6SRFMT9KN719234,2019,RAM 1500 BIG HORN,1,12,6,28,27,15,22,29,9,20,23,7,1,9,2,3,4,RAM,1500
1C6SRFMT7KN719233,2019,RAM 1500 BIG HORN,1,12,6,28,27,15,22,29,7,20,23,7,1,9,2,3,3,RAM,1500
3GCPCREC8JG182816,2018,CHEVROLET SILVERADO 1500 1LT,3,16,12,25,12,27,14,12,8,19,16,1,8,2,8,1,6,CHEVROLET,SILVERADO
WDCTG4EB8FJ137579,2015,MERCEDESBENZ GLA 250,32,13,12,29,16,4,14,11,8,15,19,1,3,7,5,7,9,MERCEDESBENZ,GLA
3FAHP0JG6AR306847,2010,FORD FUSION SEL,3,15,10,17,25,0,19,16,6,10,27,3,0,6,8,4,7,FORD,FUSION
JTMZFREV5JJ208482,2018,TOYOTA RAV4 LE,19,29,22,35,15,27,14,31,5,19,19,2,0,8,4,8,2,TOYOTA,RAV4
1GT42YEY1JF142462,2018,GMC SIERRA 3500 4WD CREW CAB,1,16,29,4,2,34,14,34,1,19,15,1,4,2,4,6,2,GMC,SIERRA
1GCRYDED1KZ171373,2019,CHEVROLET SILVERADO 1500 LT,1,16,12,27,34,13,14,13,1,20,35,1,7,1,3,7,3,CHEVROLET,SILVERADO
1HGCV1F30KA002514,2019,HONDA SPORT,1,17,16,12,31,1,15,3,0,20,10,0,0,2,5,1,4,HONDA,SPORT
3GNAXSEV4JL169045,2018,CHEVROLET EQUINOX LT,3,16,23,10,33,28,14,31,4,19,21,1,6,9,0,4,5,CHEVROLET,EQUINOX
5N1DR2MM6JC662631,2018,NISSAN PATHFINDER SV,5,23,1,13,27,2,22,22,6,19,12,6,6,2,6,3,1,NISSAN,PATHFINDER
KL4CJASB5KB738036,2019,BUICK ENCORE PREFERRED,20,21,4,12,19,10,28,11,5,20,11,7,3,8,0,3,6,BUICK,ENCORE
1GCHTBENXK1169546,2019,CHEVROLET COLORADO WT,1,16,12,17,29,11,14,23,33,20,1,1,6,9,5,4,6,CHEVROLET,COLORADO
JF1VA1A6XK9811840,2019,SUBARU WRX BASE,19,15,1,31,10,1,10,6,33,20,9,8,1,1,8,4,0,SUBARU,WRX
1G1ZC5E09CF237634,2012,CHEVROLET MALIBU 1LT,1,16,1,35,12,5,14,0,9,12,15,2,3,7,6,3,4,CHEVROLET,MALIBU
1GKKNMLS2HZ291496,2017,GMC ACADIA SLT1 FWD,1,16,20,20,23,22,21,28,2,17,35,2,9,1,4,9,6,GMC,ACADIA
3VW2K7AJ3FM232596,2015,VOLKSWAGEN JETTA,3,31,32,2,20,7,10,19,3,15,22,2,3,2,5,9,6,VOLKSWAGEN,JETTA
2C4RC1BG0JR144363,2018,CHRYSLER PACIFICA TOURINGL,2,12,4,27,12,1,11,16,0,19,27,1,4,4,3,6,3,CHRYSLER,PACIFICA
2HGFC2F68KH503672,2019,HONDA CIVIC LX,2,17,16,15,12,2,15,6,8,20,17,5,0,3,6,7,2,HONDA,CIVIC
WAUC4AF44JA234765,2018,AUDI S4 30T PRESTIGE,32,10,30,12,4,10,15,4,4,19,10,2,3,4,7,6,5,AUDI,S4
1FMCU0D79CKA99978,2012,FORD ESCAPE XLT,1,15,22,12,30,0,13,7,9,12,20,10,9,9,9,7,8,FORD,ESCAPE
WP0CB2A99KS136070,2019,PORSCHE 911 CARRERA S,32,25,0,12,11,2,10,9,9,20,28,1,3,6,0,7,0,PORSCHE,911
1HGCV1F34JA263773,2018,HONDA ACCORD SPORT,1,17,16,12,31,1,15,3,4,19,10,2,6,3,7,7,3,HONDA,ACCORD
1GAZG1FF8F1243846,2015,CHEVROLET EXPRESS 3500 LT,1,16,10,35,16,1,15,15,8,15,1,2,4,3,8,4,6,CHEVROLET,EXPRESS
55SWF4KB3GU127057,2016,MERCEDESBENZ C 300,5,5,28,32,15,4,20,11,3,16,30,1,2,7,0,5,7,MERCEDESBENZ,C
1C6SRFFT1KN719225,2019,RAM 1500 BIG HORN,1,12,6,28,27,15,15,29,1,20,23,7,1,9,2,2,5,RAM,1500
KL4CJ2SB1KB749329,2019,BUICK ENCORE SPORT TOURING,20,21,4,12,19,2,28,11,1,20,11,7,4,9,3,2,9,BUICK,ENCORE
2GNAXKEVXK6176992,2019,CHEVROLET EQUINOX LT,2,16,23,10,33,20,14,31,33,20,6,1,7,6,9,9,2,CHEVROLET,EQUINOX
1N4AZ0CP1GC310224,2016,NISSAN LEAF S,1,23,4,10,35,0,12,25,1,16,12,3,1,0,2,2,4,NISSAN,LEAF
KL7CJLSB9KB746302,2019,CHEVROLET TRAX LT,20,21,7,12,19,21,28,11,9,20,11,7,4,6,3,0,2,CHEVROLET,TRAX
1C4RDHAG9DC564661,2013,DODGE DURANGO SXT,1,12,4,27,13,17,10,16,9,13,12,5,6,4,6,6,1,DODGE,DURANGO
2GNALFEK0C1271729,2012,CHEVROLET EQUINOX LTZ,2,16,23,10,21,15,14,20,0,12,1,2,7,1,7,2,9,CHEVROLET,EQUINOX
2GNAXKEVXK6172652,2019,CHEVROLET EQUINOX 1LT,2,16,23,10,33,20,14,31,33,20,6,1,7,2,6,5,2,CHEVROLET,EQUINOX
1GNERFKW2KJ180439,2019,CHEVROLET TRAVERSE LS,1,16,23,14,27,15,20,32,2,20,19,1,8,0,4,3,9,CHEVROLET,TRAVERSE
5J6RM3H55EL004428,2014,HONDA CRV EX,5,19,6,27,22,3,17,5,5,14,21,0,0,4,4,2,8,HONDA,CRV
2G1WA5EN7A1127755,2010,CHEVROLET IMPALA LS,2,16,1,32,10,5,14,23,7,10,1,1,2,7,7,5,5,CHEVROLET,IMPALA
2T3BK31V59W007999,2009,TOYOTA RAV4 BASE,2,29,3,11,20,3,1,31,5,9,32,0,0,7,9,9,9,TOYOTA,RAV4
2GNFLEEK6C6385642,2012,CHEVROLET EQUINOX 1LT,2,16,23,15,21,14,14,20,6,12,6,3,8,5,6,4,2,CHEVROLET,EQUINOX
5TFAZ5CN9KX074316,2019,TOYOTA TACOMA SR5,5,29,15,10,35,5,12,23,9,20,33,0,7,4,3,1,6,TOYOTA,TACOMA
1FTMF1EB9KFA13250,2019,FORD F150,1,15,29,22,15,1,14,11,9,20,15,10,1,3,2,5,0,FORD,F150
19XFB2F58FE293598,2015,HONDA CIVIC LX,1,9,33,15,11,2,15,5,8,15,14,2,9,3,5,9,8,HONDA,CIVIC
3LN6L2JKXFR601756,2015,LINCOLN MKZ BASE,3,21,23,6,21,2,19,20,33,15,27,6,0,1,7,5,6,LINCOLN,MKZ
1HGCV1F33JA269077,2018,HONDA ACCORD SPORT,1,17,16,12,31,1,15,3,3,19,10,2,6,9,0,7,7,HONDA,ACCORD
4S3BNAS69K3014286,2019,SUBARU LEGACY 25I SPORT,4,28,3,11,23,10,28,6,9,20,3,0,1,4,2,8,6,SUBARU,LEGACY
2GNAXSEV8K6171810,2019,CHEVROLET EQUINOX LS,2,16,23,10,33,28,14,31,8,20,6,1,7,1,8,1,0,CHEVROLET,EQUINOX
5J6RW1H84JA004113,2018,HONDA CRV EXL,5,19,6,27,32,1,17,8,4,19,10,0,0,4,1,1,3,HONDA,CRV
1FTEW1EP1KFA13257,2019,FORD F150,1,15,29,14,32,1,14,25,1,20,15,10,1,3,2,5,7,FORD,F150
2GNAXHEV4K6171869,2019,CHEVROLET EQUINOX LS,2,16,23,10,33,17,14,31,4,20,6,1,7,1,8,6,9,CHEVROLET,EQUINOX
