web-scraper-order,web-scraper-start-url,vinregex,makemodel
"1541787448-72","https://www.cars.com/vehicledetail/detail/754190828/overview/","1C6SRFMT9KN719234","New 2019 RAM 1500 Big Horn"
"1541787454-75","https://www.cars.com/vehicledetail/detail/754190825/overview/","1C6SRFMT7KN719233","New 2019 RAM 1500 Big Horn"
"1541787544-118","https://www.cars.com/vehicledetail/detail/754190782/overview/","null","New 2017 GMC Yukon 2WD"
"1541787408-53","https://www.cars.com/vehicledetail/detail/754190847/overview/","null","Used 2001 Ford Taurus SES"
"1541787298-1","https://www.cars.com/vehicledetail/detail/754190899/overview/","3GCPCREC8JG182816","New 2018 Chevrolet Silverado 1500 1LT"
"1541787553-122","https://www.cars.com/vehicledetail/detail/754190778/overview/","null","New 2018 GMC Acadia Denali AWD"
"1541787530-111","https://www.cars.com/vehicledetail/detail/754190789/overview/","null","New 2017 GMC Yukon 4WD"
"1541787319-11","https://www.cars.com/vehicledetail/detail/754190889/overview/","WDCTG4EB8FJ137579","Used 2015 Mercedes-Benz GLA 250"
"1541787596-140","https://www.cars.com/vehicledetail/detail/754190760/overview/","3FAHP0JG6AR306847","Used 2010 Ford Fusion SEL"
"1541787317-10","https://www.cars.com/vehicledetail/detail/754190890/overview/","null","null"
"1541787321-12","https://www.cars.com/vehicledetail/detail/754190888/overview/","JTMZFREV5JJ208482","New 2018 Toyota RAV4 LE"
"1541787525-109","https://www.cars.com/vehicledetail/detail/754190791/overview/","null","New 2018 GMC Yukon 4WD"
"1541787375-38","https://www.cars.com/vehicledetail/detail/754190862/overview/","1GT42YEY1JF142462","New 2018 GMC Sierra 3500 4WD, Crew Cab"
"1541787429-63","https://www.cars.com/vehicledetail/detail/754190837/overview/","1GCRYDED1KZ171373","New 2019 Chevrolet Silverado 1500 LT"
"1541787551-121","https://www.cars.com/vehicledetail/detail/754190779/overview/","1FMEU73E08UB24473","Used 2008 Ford Explorer XLT"
"1541787555-123","https://www.cars.com/vehicledetail/detail/754190777/overview/","null","New 2018 GMC Acadia Denali AWD"
"1541787470-83","https://www.cars.com/vehicledetail/detail/754190817/overview/","1HGCV1F30KA002514","New 2019 Honda Sport"
"1541787352-27","https://www.cars.com/vehicledetail/detail/754190873/overview/","3GNAXSEV4JL169045","Used 2018 Chevrolet Equinox LT"
"1541787446-71","https://www.cars.com/vehicledetail/detail/754190829/overview/","null","New 2018 Toyota Yaris iA Base"
"1541787346-24","https://www.cars.com/vehicledetail/detail/754190876/overview/","5N1DR2MM6JC662631","Used 2018 Nissan Pathfinder SV"
"1541787439-68","https://www.cars.com/vehicledetail/detail/754190832/overview/","KL4CJASB5KB738036","New 2019 Buick Encore Preferred"
"1541787338-20","https://www.cars.com/vehicledetail/detail/754190880/overview/","null","New 2018 Chevrolet Impala LTZ"
"1541787506-100","https://www.cars.com/vehicledetail/detail/754190800/overview/","null","New 2017 GMC Yukon 4WD"
"1541787371-36","https://www.cars.com/vehicledetail/detail/754190864/overview/","null","New 2018 GMC Canyon SLT/Denali Crew Cab, Short Box"
"1541787521-107","https://www.cars.com/vehicledetail/detail/754190793/overview/","1GCHTBENXK1169546","New 2019 Chevrolet Colorado WT"
"1541787377-39","https://www.cars.com/vehicledetail/detail/754190861/overview/","JF1VA1A6XK9811840","New 2019 Subaru WRX Base"
"1541787348-25","https://www.cars.com/vehicledetail/detail/754190875/overview/","1G1ZC5E09CF237634","Used 2012 Chevrolet Malibu 1LT"
