web-scraper-order,web-scraper-start-url,vinregex,makemodel
"1543260556-1117","https://www.cars.com/vehicledetail/detail/754166998/overview/","WA1LGAFE7FD008769","Used 2015 Audi Q7 3.0T Premium Plus"
"1543265212-2004","https://www.cars.com/vehicledetail/detail/754164744/overview/","4T1B11HK6KU701201","New 2019 Toyota Camry SE"
"1543254403-3","https://www.cars.com/vehicledetail/detail/754169997/overview/","JTMRFREVXJD256347","New 2018 Toyota RAV4 XLE"
"1543258684-829","https://www.cars.com/vehicledetail/detail/754167913/overview/","2C3CCAAG2KH548090","New 2019 Chrysler 300 Touring"
"1543257272-549","https://www.cars.com/vehicledetail/detail/754168605/overview/","WDDSJ4EB8EN063032","Used 2014 Mercedes-Benz CLA 250"
"1543259687-1004","https://www.cars.com/vehicledetail/detail/754167417/overview/","WDDPK3JA5GF120567","Used 2016 Mercedes-Benz SLK 300"
"1543256376-285","https://www.cars.com/vehicledetail/detail/754169040/overview/","5TDZZRFH4HS229790","Used 2017 Toyota Highlander LE Plus"
"1543260320-1087","https://www.cars.com/vehicledetail/detail/754167107/overview/","WBA4F7C59HG438144","Used 2017 BMW 430 Gran Coupe i"
"1543260021-1038","https://www.cars.com/vehicledetail/detail/754167252/overview/","1N6AD0EV0CC413131","Used 2012 Nissan Frontier Pro-4X"
"1543256678-383","https://www.cars.com/vehicledetail/detail/754168891/overview/","2G1105SA5H9165902","Used 2017 Chevrolet Impala 1LT"
"1543264069-1639","https://www.cars.com/vehicledetail/detail/754165285/overview/","1G4HP54K81U151595","Used 2001 Buick LeSabre Custom"
"1543261808-1297","https://www.cars.com/vehicledetail/detail/754166394/overview/","KNDJP3A50G7366019","Used 2016 Kia Soul +"
"1543260210-1067","https://www.cars.com/vehicledetail/detail/754167161/overview/","JN8AF5MV5DT210981","Used 2013 Nissan Juke SV"
"1543262932-1430","https://www.cars.com/vehicledetail/detail/754165842/overview/","JF1ZNAA11F8711454","Used 2015 Scion FR-S"
"1543256820-425","https://www.cars.com/vehicledetail/detail/754168822/overview/","5J6RM3H75FL012354","Used 2015 Honda CR-V EX-L"
"1543257601-628","https://www.cars.com/vehicledetail/detail/754168442/overview/","1C4RJFAG6FC168204","Used 2015 Jeep Grand Cherokee Laredo"
"1543257223-536","https://www.cars.com/vehicledetail/detail/754168629/overview/","5FNYF6H55KB038445","New 2019 Honda Pilot EX-L"
"1543262205-1355","https://www.cars.com/vehicledetail/detail/754166201/overview/","3N1AB7AP4HY357057","Used 2017 Nissan Sentra S"
"1543264707-1835","https://www.cars.com/vehicledetail/detail/754164982/overview/","1HGCR2F32FA044635","Used 2015 Honda Accord LX"
"1543263851-1575","https://www.cars.com/vehicledetail/detail/754165390/overview/","WVWUF7AUXGW053645","Used 2016 Volkswagen Golf R 4-Door"
"1543257763-670","https://www.cars.com/vehicledetail/detail/754168366/overview/","5NMS5CAA0KH045316","New 2019 Hyundai Santa Fe Ultimate 2.0T"
"1543258397-776","https://www.cars.com/vehicledetail/detail/754168055/overview/","3N1CE2CP0FL437868","Used 2015 Nissan Versa Note SV"
"1543259663-1001","https://www.cars.com/vehicledetail/detail/754167429/overview/","JN1BV7ARXFM403276","Used 2015 INFINITI Q50 Premium"
"1543257567-619","https://www.cars.com/vehicledetail/detail/754168459/overview/","null","null"
"1543265866-2072","https://www.cars.com/vehicledetail/detail/754164654/overview/","1C4NJRFB2HD180831","Certified 2017 Jeep Patriot Latitude"
"1543260733-1145","https://www.cars.com/vehicledetail/detail/754166911/overview/","WP1AG2A57HLB50525","Used 2017 Porsche Macan GTS"
"1543265270-2028","https://www.cars.com/vehicledetail/detail/754164717/overview/","3FA6P0G77DR253949","Used 2013 Ford Fusion S"
"1543254814-58","https://www.cars.com/vehicledetail/detail/754169803/overview/","1G11B5SL3FF275735","Used 2015 Chevrolet Malibu 1LS"
"1543256866-437","https://www.cars.com/vehicledetail/detail/754168799/overview/","2G1FA1E3XF9154898","Used 2015 Chevrolet Camaro 1LS"
"1543260148-1057","https://www.cars.com/vehicledetail/detail/754167191/overview/","1G1RC6S5XGU124217","Used 2016 Chevrolet Volt LT"
"1543264678-1825","https://www.cars.com/vehicledetail/detail/754164996/overview/","5J8TC2H76KL021164","New 2019 Acura RDX Advance Package"
"1543260258-1073","https://www.cars.com/vehicledetail/detail/754167137/overview/","JN8AS5MT2AW008586","Used 2010 Nissan Rogue S"
"1543257091-497","https://www.cars.com/vehicledetail/detail/754168690/overview/","1G6AH5RX2G0110748","Used 2016 Cadillac ATS 2.0 Turbo Luxury Collection"
"1543257243-543","https://www.cars.com/vehicledetail/detail/754168619/overview/","1HGCV1F37JA268918","New 2018 Honda Accord Sport"
"1543260450-1102","https://www.cars.com/vehicledetail/detail/754167043/overview/","19XFB4F23FE001941","Used 2015 Honda Civic Hybrid"
"1543261408-1236","https://www.cars.com/vehicledetail/detail/754166587/overview/","WDDSJ4EB1JN550549","Used 2018 Mercedes-Benz CLA 250 Base"
"1543264334-1726","https://www.cars.com/vehicledetail/detail/754165157/overview/","1GTP8DED1KZ148778","New 2019 GMC Sierra 1500 SLT"
"1543257565-618","https://www.cars.com/vehicledetail/detail/754168460/overview/","4S4BSAHC9H3311620","Used 2017 Subaru Outback 2.5i Premium"
"1543263059-1445","https://www.cars.com/vehicledetail/detail/754165779/overview/","JM3KE2BE5F0538238","Used 2015 Mazda CX-5 Sport"
"1543255359-127","https://www.cars.com/vehicledetail/detail/754169536/overview/","JTDKDTB30F1105310","Used 2015 Toyota Prius c Two"
"1543258131-711","https://www.cars.com/vehicledetail/detail/754168186/overview/","WVWAP7AN2FE805402","Used 2015 Volkswagen CC 2.0T R-Line"
"1543258804-862","https://www.cars.com/vehicledetail/detail/754167854/overview/","JF1VA1B6XH9809223","Used 2017 Subaru WRX Base"
"1543264765-1850","https://www.cars.com/vehicledetail/detail/754164961/overview/","WDDHF5KBXGB173171","Certified 2016 Mercedes-Benz E 350"
"1543256651-372","https://www.cars.com/vehicledetail/detail/754168904/overview/","3C6TR5EJ0JG402896","New 2018 RAM 2500 Power Wagon"
"1543265373-2062","https://www.cars.com/vehicledetail/detail/754164666/overview/","5J8YD4H04KL012190","New 2019 Acura MDX 3.5 Technology w/ A-Spec"
"1543260347-1094","https://www.cars.com/vehicledetail/detail/754167094/overview/","KNDPBCAC4G7805388","Certified 2016 Kia Sportage LX"
"1543263814-1566","https://www.cars.com/vehicledetail/detail/754165408/overview/","JF2SKASC7KH420506","New 2019 Subaru Forester Limited"
"1543264974-1914","https://www.cars.com/vehicledetail/detail/754164861/overview/","null","null"
"1543262627-1400","https://www.cars.com/vehicledetail/detail/754165992/overview/","JN8AF5MR7BT006246","Used 2011 Nissan Juke S"
"1543259363-971","https://www.cars.com/vehicledetail/detail/754167578/overview/","WMWXU1C58G2D09939","Used 2016 MINI Hardtop Cooper"
"1543256935-451","https://www.cars.com/vehicledetail/detail/754168767/overview/","5TFEM5F12KX137071","New 2019 Toyota Tundra SR5"
"1543263763-1553","https://www.cars.com/vehicledetail/detail/754165433/overview/","KNDJN2A21H7474270","Used 2017 Kia Soul Base"
"1543258256-740","https://www.cars.com/vehicledetail/detail/754168124/overview/","1FTFX1E51JKF86942","New 2018 Ford F-150"
"1543257957-695","https://www.cars.com/vehicledetail/detail/754168272/overview/","55SWF4KB5HU202956","Used 2017 Mercedes-Benz C 300"
"1543255494-147","https://www.cars.com/vehicledetail/detail/754169471/overview/","WVGBV7AX1HK050397","Used 2017 Volkswagen Tiguan Limited 2.0T"
"1543264911-1893","https://www.cars.com/vehicledetail/detail/754164892/overview/","3FA6P0CD0KR114402","New 2019 Ford Fusion SEL"
"1543255684-171","https://www.cars.com/vehicledetail/detail/754169377/overview/","1GKS2CE07ER196569","Used 2014 GMC Yukon SLT"
"1543261988-1325","https://www.cars.com/vehicledetail/detail/754166308/overview/","5GAKRAKD7FJ342344","Used 2015 Buick Enclave Convenience"
"1543264418-1755","https://www.cars.com/vehicledetail/detail/754165116/overview/","1V2DP2CA7JC597322","New 2018 Volkswagen Atlas 2.0T SE w/Technology"
"1543256431-304","https://www.cars.com/vehicledetail/detail/754169013/overview/","null","null"
"1543264009-1620","https://www.cars.com/vehicledetail/detail/754165314/overview/","3TMGZ5ANXKM198811","New 2019 Toyota Tacoma Limited"
"1543261337-1225","https://www.cars.com/vehicledetail/detail/754166622/overview/","5GAKRCED7CJ404523","Used 2012 Buick Enclave Leather"
